total=8637 named=933
HoverLocomotionClass::sub_514F70 @ 00514f70
HoverLocomotionClass::sub_5164D0 @ 005164d0
INISection::Clear @ 005257c0
INISection::Exists @ 00679f40
INISection::GetSection @ 00526810
INISection::GetTechnoType @ 00476eb0
INISection::Read2Integers @ 00529880
INISection::Read3Bytes @ 00474b50
INISection::Read3Integers @ 00529ca0
INISection::ReadAbilities @ 00477640
INISection::ReadBool @ 005295f0
INISection::ReadColor @ 00474c70
INISection::ReadInteger @ 005276d0
INISection::ReadString @ 00528a10
INISection::ReadTime @ 0052a760
INISection::ReadUUBlock @ 00526fb0
INISection::ReadUnicodeString @ 00528f00
INISection::Reset @ 00526b00
INISection::Write2Integers @ 005297e0
INISection::WriteBool @ 00529560
INISection::WriteInteger @ 005275c0
INISection::WriteString @ 00528660
INISection::WriteTime @ 0052a940
INISection::WriteUUBlock @ 00526e80
INISection::WriteUnicodeString @ 00528e00
IPXManagerClass::Delete_Connection @ 00540f00
IPXManagerClass::ResponseTime @ 00542450
IPXManagerClass::Send_Global_Message @ 005410f0
IPXManagerClass::Service @ 00541820
IPXManagerClass::SetTiming @ 00540c60
ImmAssociateContext @ 007c8a1c
ImmGetCompositionStringA @ 007c8a34
ImmGetContext @ 007c8a22
ImmNotifyIME @ 007c8a28
InfantryClass::GetFireError @ 00517a50
InfantryTypeClass::WhatAmI @ 005236a0
InputManagerClass::DoSomething @ 0054f720
InputManagerClass::IsKeyPressed @ 0054f5c0
IonBlastClass::Update @ 0053cbe0
IsometricTileClass::WhatAmI @ 00543780
IsometricTileTypeClass::WhatAmI @ 005447c0
JumpjetLocomotionClass::In_Which_Layer @ 0054ac40
Kamikaze::Add @ 0054e3b0
Kamikaze::Clear @ 0054e6f0
Kamikaze::Load @ 0054e7b0
Kamikaze::Remove @ 0054e590
Kamikaze::Save @ 0054e750
Kamikaze::Update @ 0054e4d0
LayerClass::AddObject @ 005519b0
LayerClass::Load @ 00551b90
LayerClass::Save @ 00551b20
LayerClass::Sort @ 00551a30
LightSourceClass::ChangeLevels @ 00554aa0
LightSourceClass::WhatAmI @ 00554a60
LineTrail::SetDecrement @ 00556b50
LoadOptionsClass::DeleteMission @ 00559eb0
LoadOptionsClass::LoadDialog @ 005587f0
LoadProgressManager::Draw @ 00552d60
LogicClass::PointerGotInvalid @ 0055b880
LogicClass::RemoveObject @ 0055bae0
LogicClass::Update @ 0055afb0
MPGameModeClass::CreateMPTeams @ 005d6690
MPGameModeClass::INIT_FUNC @ 005d7f20
MPGameModeClass::PopulateTeamDropdownForPlayer @ 005d6540
MPGameModeClass::SpawnBaseUnits @ 005d7030
MPGameModeClass::UnfixAlliances @ 005d6790
MPGameModeClass::vt_entry_10 @ 005d62c0
MPTeam::AddToList @ 005d8d10
MapClass::AddContentAt @ 005683c0
MapClass::BuildingToFirestormWall @ 00588570
MapClass::BuildingToWall @ 00588750
MapClass::CenterMap @ 004ae290
MapClass::CoordinatesLegal @ 00568300
MapClass::CoordinatesLegal @ 00568350
MapClass::DestroyCliff @ 00581140
MapClass::DestroyConcreteBridgeAt @ 00574000
MapClass::DestroyWoodBridgeAt @ 00574c20
MapClass::GetCellFloorHeight @ 00578080
MapClass::GetMovementZoneType @ 0056d230
MapClass::GetTargetCell @ 00565730
MapClass::GetThreatPosed @ 0056bcd0
MapClass::InLocalRadar @ 00578390
MapClass::IsAreaFree @ 00586780
MapClass::IsLinkedBridgeDestroyed @ 00587410
MapClass::IsLocationFogged @ 005865e0
MapClass::IsLocationShrouded @ 00586360
MapClass::IsWithinUsableArea @ 00578460
MapClass::IsWithinUsableArea @ 00578540
MapClass::IsWithinUsableArea @ 005785f0
MapClass::MakeTraversable @ 00578ad0
MapClass::NearByLocation @ 0056dc20
MapClass::NextObject @ 004aa2b0
MapClass::PlacePowerupCrate @ 0056bec0
MapClass::RecalculateSubZones @ 00584550
MapClass::RecalculateZones @ 0056d5a0
MapClass::RedrawSidebar @ 004f42f0
MapClass::RemoveContentAt @ 005687f0
MapClass::RepairConcreteBridgeAt @ 00573540
MapClass::RepairWoodBridgeAt @ 00570050
MapClass::ResetZones @ 0056d460
MapClass::Reshroud @ 00577ab0
MapClass::Reveal @ 00577d90
MapClass::RevealArea3 @ 00567da0
MapClass::RevealCheck @ 005865f0
MapClass::SetPlaceBeaconMode @ 004ac960
MapClass::SetRepairMode @ 004ac8c0
MapClass::SetSellMode @ 004ac660
MapClass::SetTogglePowerMode @ 004ac820
MapClass::SetWaypointMode @ 004ac700
MapClass::Update_Pathfinding_1 @ 0056c510
MapClass::Update_Pathfinding_2 @ 00586990
MapClass::sub_657CE0 @ 00657ce0
MessageListClass::AddEdit @ 005d4210
MessageListClass::AddMessage @ 005d3ba0
MessageListClass::ComputeY @ 005d4bf0
MessageListClass::ConcatMessage @ 005d3fc0
MessageListClass::Draw @ 005d49a0
MessageListClass::GetEditBuffer @ 005d4400
MessageListClass::Init @ 005d3a60
MessageListClass::Input @ 005d4510
MessageListClass::Manage @ 005d4430
MessageListClass::NumMessages @ 005d4aa0
MessageListClass::RemoveEdit @ 005d4390
MessageListClass::SetWidth @ 005d4ad0
MessageListClass::TrimMessage @ 005d4b20
MissionControlClass::LoadFromINI @ 005b3760
MixFileClass::Bootstrap @ 005301a0
NeuronClass::WhatAmI @ 0043a350
ObjectClass::AttachTrigger @ 005f5b50
